行政區別,村里別,余秀珠,吳香蘭Hisa‧Sakay,張文成,田韻馨,蘇忠亮,蘇正清,許淑銀Otiam  Cirig,陳長明,陳鶴章Salizan  Binkinuan,余秀珠_黨籍,吳香蘭Hisa‧Sakay_黨籍,張文成_黨籍,田韻馨_黨籍,蘇忠亮_黨籍,蘇正清_黨籍,許淑銀Otiam  Cirig_黨籍,陳長明_黨籍,陳鶴章Salizan  Binkinuan_黨籍
花蓮市,國安里,,,0.0,6.0,,,4.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國富里,,,8.0,28.0,,,32.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國強里,,,0.0,14.0,,,8.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國慶里,,,0.0,2.0,,,8.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國治里,,,0.0,6.0,,,8.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國盛里,,,14.0,38.0,,,66.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國福里,,,2.0,24.0,,,18.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國聯里,,,0.0,8.0,,,20.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國興里,,,10.0,14.0,,,66.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國華里,,,0.0,6.0,,,14.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國裕里,,,2.0,26.0,,,12.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國防里,,,0.0,0.0,,,4.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國風里,,,0.0,6.0,,,14.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,國魂里,,,0.0,4.0,,,18.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民主里,,,4.0,8.0,,,6.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民享里,,,12.0,32.0,,,52.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民勤里,,,10.0,22.0,,,70.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民孝里,,,12.0,38.0,,,66.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民德里,,,4.0,2.0,,,6.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民心里,,,0.0,10.0,,,12.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民意里,,,20.0,36.0,,,60.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民政里,,,4.0,22.0,,,60.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民族里,,,0.0,0.0,,,0.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民有里,,,0.0,0.0,,,2.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民樂里,,,2.0,8.0,,,12.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民權里,,,0.0,0.0,,,8.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民治里,,,0.0,0.0,,,0.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民生里,,,0.0,8.0,,,6.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民立里,,,2.0,6.0,,,22.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
花蓮市,民運里,,,4.0,8.0,,,22.0,,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
萬榮鄉,明利村,,494.0,,,,,,396.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
萬榮鄉,紅葉村,,682.0,,,,,,622.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
萬榮鄉,萬榮村,,432.0,,,,,,558.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
萬榮鄉,西林村,,420.0,,,,,,1044.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
萬榮鄉,見晴村,,412.0,,,,,,292.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
萬榮鄉,馬遠村,,736.0,,,,,,612.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
豐濱鄉,新社村,,2.0,,,,,,2.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
豐濱鄉,港口村,,0.0,,,,,,2.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
豐濱鄉,磯崎村,,42.0,,,,,,30.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
豐濱鄉,豐濱村,,6.0,,,,,,12.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
豐濱鄉,靜浦村,,0.0,,,,,,2.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,北林里,,12.0,,,,,,2.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,南平里,,6.0,,,,,,2.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,大榮里,,30.0,,,,,,10.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,山興里,,4.0,,,,,,2.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,林榮里,,20.0,,,,,,18.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,森榮里,,0.0,,,,,,2.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,長橋里,,22.0,,,,,,46.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,鳳仁里,,10.0,,,,,,12.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,鳳信里,,20.0,,,,,,36.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,鳳智里,,26.0,,,,,,8.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,鳳禮里,,2.0,,,,,,4.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
鳳林鎮,鳳義里,,0.0,,,,,,0.0,,中國國民黨,中國國民黨,無黨籍及未經政黨推薦,無黨籍及未經政黨推薦,中國國民黨,中國國民黨,中國國民黨,中國國民黨,中國國民黨
